Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/31/2016,11:30,ROCHESTER,34F,19F,54%,S,20mph,29mph,29.14in,0.0in,Mostly
12/31/2016,3:42,ROCHESTER,29F,17F,61%,SW,12mph,0mph,29.35in,0.0in,Light
12/31/2016,10:30,ROCHESTER,31F,19F,61%,S,9mph,0mph,29.16in,0.0in,Cloudy
12/31/2016,15:19,ROCHESTER,41F,22F,47%,SW,15mph,26mph,29.03in,0.0in,Cloudy
12/31/2016,10:31,ROCHESTER,31F,19F,61%,S,9mph,0mph,29.16in,0.0in,Cloudy
12/31/2016,0:18,ROCHESTER,37F,33F,86%,W,20mph,37mph,29.12in,0.0in,Rain
12/31/2016,21:40,ROCHESTER,40F,28F,63%,SW,20mph,26mph,29.04in,0.0in,Cloudy
12/31/2016,14:04,ROCHESTER,40F,21F,47%,SSW,20mph,31mph,29.04in,0.0in,Cloudy
12/31/2016,6:01,ROCHESTER,29F,21F,72%,SSE,6mph,0mph,29.31in,0.0in,Cloudy
12/31/2016,12:04,ROCHESTER,35F,19F,52%,S,20mph,26mph,29.11in,0.0in,Cloudy
12/31/2016,8:30,ROCHESTER,29F,22F,75%,S,10mph,0mph,29.26in,0.0in,Light
12/31/2016,19:32,ROCHESTER,37F,30F,76%,SSW,16mph,26mph,29.05in,0.0in,Cloudy
12/30/2016,19:41,ROCHESTER,32F,22F,66%,WNW,16mph,24mph,29.07in,0.0in,Light
12/30/2016,0:00,ROCHESTER,28F,17F,63%,W,12mph,0mph,29.33in,0.0in,Light
12/30/2016,17:20,ROCHESTER,32F,22F,66%,WNW,15mph,0mph,29.01in,0.0in,Light
12/30/2016,8:00,ROCHESTER,32F,27F,82%,W,15mph,0mph,28.94in,0.0in,Light
12/30/2016,16:54,ROCHESTER,31F,26F,82%,WNW,14mph,0mph,28.98in,0.0in,Light
12/30/2016,20:03,ROCHESTER,31F,23F,72%,W,16mph,25mph,29.08in,0.0in,Light
12/30/2016,10:08,ROCHESTER,32F,28F,85%,W,9mph,21mph,28.94in,0.0in,Light
12/30/2016,13:24,ROCHESTER,32F,27F,82%,W,13mph,23mph,28.96in,0.0in,Light
12/30/2016,16:40,ROCHESTER,31F,26F,82%,WNW,14mph,0mph,28.98in,0.0in,Light
